Region,District,Sector,School_Name,Year,Male_Dropout_Percentage,Female_Dropout_Percentage,Overall_Dropout_Percentage,Completion_Total,Reenrollment_Rate,Attendance_Rate,Avg_Household_Income_RWF,TS_Ratio_Numeric,Dropout_Level
Kigali,Gasabo,Kinyinya,GS Mweya,2010,23.61,18.31,20.96,63.65,2.86,78.37,488468,0.025,Medium
Kigali,Gasabo,Gisozi,GS Buye,2011,19.88,2.64,11.26,91.51,12.35,60.03,203355,0.025,Medium
Kigali,Gasabo,Gatsata,ES Kigoma,2012,18.74,1.2,9.97,63.7,7.65,75.99,249503,0.025,Low
Kigali,Gasabo,Gatsata,GS Gitega,2013,29.51,14.54,22.02,88.51,18.84,78.02,449457,0.025,Medium
Kigali,Gasabo,Kimironko,GS Kinteko,2014,17.34,12.18,14.76,56.17,12.2,69.64,254555,0.025,Medium
Kigali,Gasabo,Nduba,GS Mubuga,2015,25.16,6.03,15.6,64.33,4.16,90.21,559773,0.025,Medium
Kigali,Gasabo,Kimironko,GS Gitega,2016,17.46,1.91,9.69,82.3,11.41,75.81,199299,0.025,Low
Kigali,Gasabo,Kimironko,GS Akumunigo,2017,16.1,28.87,22.49,89.8,5.62,81.59,448951,0.025,Medium
Kigali,Gasabo,Jabana,GS Ruramira,2018,16.74,5.09,10.91,71.92,3.97,99.48,220151,0.025,Medium
Kigali,Gasabo,Rutunga,GS Akumunigo,2019,1.16,24.65,12.9,85.9,13.02,90.85,400804,0.025,Medium
Kigali,Gasabo,Jali,GS Mweya,2020,27.53,25.65,26.59,63.62,13.32,74.83,177373,0.025,High
Kigali,Gasabo,Jabana,New Vision,2021,18.15,8.97,13.56,73.6,14.43,98.87,258338,0.025,Medium
Kigali,Gasabo,Kimihurura,GS Akumunigo,2022,7.84,8.43,8.13,68.78,0.63,64.44,123419,0.025,Low
Kigali,Gasabo,Nduba,GS Mubuga,2023,19.46,10.12,14.79,85.4,18.86,69.97,549260,0.025,Medium
Kigali,Gasabo,Remera,GS Akumunigo,2024,18.37,21.15,19.76,87.62,9.13,71.83,209556,0.025,Medium
Kigali,Gasabo,Kimihurura,GS Rukomo,2010,16.64,24.42,20.53,80.35,16.36,64.4,228376,0.016949153,Medium
Kigali,Gasabo,Bumbogo,GS Rukomo,2011,25.96,1.2,13.58,73.2,18.86,68.88,591314,0.016949153,Medium
Kigali,Gasabo,Bumbogo,GS Kimironko II,2012,10.37,16.04,13.21,76.67,9.94,98.87,293075,0.016949153,Medium
Kigali,Gasabo,Rusororo,GS Mweya,2013,9.73,9.26,9.49,66.16,5.57,80.11,474325,0.016949153,Low
Kigali,Gasabo,Gikomero,GS Migongo,2014,27.34,7.95,17.64,65.86,13.44,99.43,580671,0.016949153,Medium
Kigali,Gasabo,Nduba,GS Gahanga I,2015,23.09,7.89,15.49,77.4,10.72,85.29,558949,0.016949153,Medium
Kigali,Gasabo,Jali,GS Kinteko,2016,3.62,25.22,14.42,62.68,0.33,61.63,411955,0.016949153,Medium
Kigali,Gasabo,Ndera,GS Akumunigo,2017,15.85,7.57,11.71,70.49,18.73,87.64,171295,0.016949153,Medium
Kigali,Gasabo,Gikomero,GS Camp Kigali,2018,4.99,10.89,7.94,75.95,13.2,95.09,130306,0.016949153,Low
Kigali,Gasabo,Remera,Mater Dei,2019,24.7,17.1,20.9,69.29,17.65,63.72,383076,0.016949153,Medium
Kigali,Gasabo,Kacyiru,GS Nyacyina,2020,6.47,9.09,7.78,88.68,17.76,94.25,483029,0.016949153,Low
Kigali,Gasabo,Kacyiru,GS Nyacyina,2021,25.68,28.13,26.91,86.36,13.27,83.23,488207,0.016949153,High
Kigali,Gasabo,Remera,GS Mweya,2022,1.15,5.66,3.41,81.02,14.24,86.08,212296,0.016949153,Low
Kigali,Gasabo,Gisozi,GS Migongo,2023,7.88,10.44,9.16,84.9,10.85,93.97,186416,0.016949153,Low
Kigali,Gasabo,Kinyinya,GS Matara,2024,15.76,19.45,17.6,71.01,18.12,99.16,305362,0.016949153,Medium
Kigali,Gasabo,Gatsata,GS Rwamagana,2010,17.73,15.28,16.51,72.94,0.87,71.23,202946,0.033333333,Medium
Kigali,Gasabo,Gikomero,Marie Merci,2011,29.84,14.63,22.24,79.08,6.62,89.91,395972,0.033333333,Medium
Kigali,Gasabo,Rusororo,GS Mweya,2012,17.03,17.6,17.31,76.39,5.37,72.23,594495,0.033333333,Medium
Kigali,Gasabo,Kimihurura,GS Cyahafi,2013,15.07,11.81,13.44,80.97,4.18,97.2,545101,0.033333333,Medium
Kigali,Gasabo,Kacyiru,GS Nyacyina,2014,20.46,11.4,15.93,63.74,2.73,72.9,258823,0.033333333,Medium
Kigali,Gasabo,Gatsata,King David,2015,21.56,17.03,19.3,67.91,10.03,70.25,372791,0.033333333,Medium
Kigali,Gasabo,Rusororo,GS Rukomo,2016,24.15,19.85,22,87.44,1.88,95.6,548982,0.033333333,Medium
Kigali,Gasabo,Jabana,GS Rutongo,2017,17.77,2.04,9.91,75.21,5.01,71.46,155609,0.033333333,Low
Kigali,Gasabo,Bumbogo,GS Ruramira,2018,2.13,9.79,5.96,71.59,9.15,93.11,351451,0.033333333,Low
Kigali,Gasabo,Rusororo,GS Rwamagana,2019,25.42,6.64,16.03,77.77,10.33,65.53,336175,0.033333333,Medium
Kigali,Gasabo,Kimihurura,GS Rukomo,2020,10.37,24.06,17.21,67.75,1.62,63.14,452996,0.033333333,Medium
Kigali,Gasabo,Kinyinya,GS Rutongo,2021,13.42,20.97,17.19,74.34,14.29,77.69,277247,0.033333333,Medium
Kigali,Gasabo,Rutunga,GS Matara,2022,20.15,9.12,14.63,92.32,0.95,82.17,213429,0.033333333,Medium
Kigali,Gasabo,Kinyinya,GS Camp Kigali,2023,17.42,5.6,11.51,61.55,6.23,63.67,275150,0.033333333,Medium
Kigali,Gasabo,Kinyinya,New Vision,2024,29.41,6.08,17.75,69.51,9.29,92.28,584963,0.033333333,Medium
Kigali,Gasabo,Gisozi,GS Mubuga,2010,19.42,2.31,10.87,75.01,13.17,80.13,291232,0.019607843,Medium
Kigali,Gasabo,Rutunga,New Vision,2011,5.73,3.05,4.39,66.72,11.51,83.43,291962,0.019607843,Low
Kigali,Gasabo,Gatsata,GS Matara,2012,12.26,19.66,15.96,75.1,19.22,97.66,599522,0.019607843,Medium
Kigali,Gasabo,Gikomero,GS Ruheru,2013,27.26,6.68,16.97,54.25,13.66,60.73,454802,0.019607843,Medium
Kigali,Gasabo,Gisozi,New Vision,2014,3.06,10.25,6.66,71.7,13.86,92.58,382502,0.019607843,Low
Kigali,Gasabo,Kacyiru,GS Matara,2015,11.1,28.16,19.63,61.43,15.01,98.7,406569,0.019607843,Medium
Kigali,Gasabo,Gisozi,ES Kigoma,2016,24.4,29.72,27.06,69.62,18.62,91.06,552247,0.019607843,High
